    231 Vindobona         -           9.6   0.15    82.06  0.0379 - -                 14.245      - 0.20 0.29 3  -     - - - -
    232 Russia            -          10.25  0.15    53.28  0.0494 - -                 21.905      - 0.14 0.31 3  -     - - - -
    233 Asterope          -           8.21  0.15   102.78  0.0870 - -                 19.70       - 0.25 0.55 3  -     Y - - -
    234 Barbara           -           9.02  0.15    43.75  0.2276 - -                 26.4744     - 0.16 0.28 3  -     Y - - -
    235 Carolina          -           8.9   0.15    57.45  0.1474 - -                 17.610      - 0.30 0.38 3  -     - - - -
    236 Honoria           -           8.19 -0.02    92.17  0.1104 - -                 12.336      - 0.05 0.27 3- -     Y - - -
    237 Coelestina        -           9.24  0.15    41.08  0.2108 - -                 29.215      - 0.16 0.3  3  -     Y - - -
    238 Hypatia           -           8.18  0.15   148.49  0.0428 - -                  8.8749     - 0.07 0.17 3  -     Y - - -
    239 Adrastea          -          10.40  0.15    41.46  0.0711 - -                 18.4707     - 0.34 0.51 3  -     Y - - -
    240 Vanadis           -           9.00  0.15   103.90  0.0411 - -                 10.64       - 0.30 0.34 3  -     - - - -
    241 Germania          -           7.58  0.15   168.90  0.0575 - -                 15.51       - 0.10 0.17 3  -     Y - - -
    242 Kriemhild         -           9.2   0.15    38.90  0.2440 - -                  4.5478     - 0.08 0.24 3  -     Y - - -
    243 Ida               -           9.94  0.15    27.99  0.2383 - -                  4.634      - 0.40 0.86 3  -     Y B - -
    244 Sita              -          11.90  0.15    11.08  0.2499 - -                129.51       - 0.80 0.82 3- T0    - - - -
    245 Vera              -           7.82  0.15    79.50  0.2082 - -                 14.38       - -.99 0.26 3  -     Y - - -
    246 Asporina          -           8.62  0.15    60.10  0.1744 - -                 16.222      - 0.22 0.47 3  -     Y - - -
    247 Eukrate           -           8.04  0.15   134.43  0.0595 - -                 12.093      - 0.10 0.18 3  -     Y - - -
    248 Lameia            -          10.26  0.15    48.62  0.0588 - -                 11.912      - 0.10 0.17 3  -     - - - -
    249 Ilse              -          11.39  0.15    34.82  0.0405 - -                 84.94       - 0.27 0.34 3  -     Y - - -
    250 Bettina           -           7.58  0.15    79.75  0.2581 - -                  5.0545     - 0.11 0.60 3  -     Y - - -
    251 Sophia            -           9.9   0.15    28.54  0.2377 - -                 20.216      - 0.30 0.61 3  -     - - - -
    252 Clementina        -           9.7   0.15    68.81  0.0492 - -                 10.864      - 0.32 0.44 3  -     - - - -
    253 Mathilde          -          10.3   0.15    58.01  0.0398 - -                417.7        - 0.45 0.50 3  T     - - - -
    254 Augusta           -          12.13  0.15    12.11  0.1695 - -                  5.8949     - 0.56 0.75 3  -     Y - - -
